p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
3,4,105,105.4.a.a,8,-1,9999,9999,1,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
5,4,105,105.4.a.a,1,1,0,0,0,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],1,1
7,4,105,105.4.a.a,1,1,9999,9999,1,2:[1:0];11:[1:0];13:[1:1];17:[1:4];19:[1:4];23:[1:2];29:[1:6];31:[1:1];37:[1:0];41:[1:2];43:[1:1];47:[1:2];53:[1:0];59:[1:3];61:[1:3];67:[1:0];71:[1:2];73:[1:5];79:[1:5];83:[1:5];89:[1:2];97:[1:3],1,1
3,4,105,105.4.a.b,8,-1,0,0,0,2:[1:1];11:[1:0];13:[1:0];17:[1:2];19:[1:2];23:[1:2];29:[1:1];31:[1:2],1,1
5,4,105,105.4.a.b,1,1,0,0,0,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],1,1
7,4,105,105.4.a.b,1,1,0,0,0,2:[1:2];11:[1:2];13:[1:5];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:3];43:[1:3];47:[1:2];53:[1:5];59:[1:5];61:[1:3];67:[1:1];71:[1:1];73:[1:5];79:[1:0];83:[1:5];89:[1:2];97:[1:2],1,1
3,4,105,105.4.a.f,1,1,0,0,0,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
5,4,105,105.4.a.f,1,1,1/2,1,1/2,2:[1:2];11:[1:1];13:[1:1];17:[1:2];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:3];41:[1:3];43:[1:2];47:[1:0];53:[1:2];59:[1:2];61:[1:2],2,1
7,4,105,105.4.a.f,13,-1,9999,9999,2,2:[1:1];11:[1:1];13:[1:0];17:[1:2];19:[1:5];23:[1:1];29:[1:5];31:[1:2];37:[1:1];41:[1:0];43:[1:5];47:[1:5];53:[1:1];59:[1:2];61:[1:5];67:[1:1];71:[1:5];73:[1:2];79:[1:1];83:[1:0];89:[1:5];97:[1:0],1,1
7,4,105,105.4.a.f,13,-1,0,0,0,2:[1:5];11:[1:0];13:[1:1];17:[1:1];19:[1:5];23:[1:5];29:[1:2];31:[1:2];37:[1:4];41:[1:1];43:[1:3];47:[1:2];53:[1:2];59:[1:2];61:[1:3];67:[1:5];71:[1:5];73:[1:6];79:[1:5];83:[1:3];89:[1:2];97:[1:3],1,1
3,4,105,105.4.a.e,17,-1,0,0,0,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
5,4,105,105.4.a.e,44,1,0,1,1,2:[1:2:3];11:[1:3];13:[1:1:2];17:[1:4:2];19:[1:1:1];23:[1:1:1];29:[1:2:3];31:[1:0:3];37:[1:2:3];41:[1:0];43:[1:1:2];47:[1:3:4];53:[1:1:1];59:[1:1:1];61:[1:3:4],1,2
7,4,105,105.4.a.e,17,-1,0,1,1,2:[1:0];11:[1:0];13:[1:1];17:[1:4];19:[1:4];23:[1:2];29:[1:6];31:[1:1];37:[1:0];41:[1:2];43:[1:1];47:[1:2];53:[1:0];59:[1:3];61:[1:3];67:[1:0];71:[1:2];73:[1:5];79:[1:5];83:[1:5];89:[1:2];97:[1:3],1,1
7,4,105,105.4.a.e,17,-1,0,0,0,2:[1:2];11:[1:2];13:[1:5];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:3];43:[1:3];47:[1:2];53:[1:5];59:[1:5];61:[1:3];67:[1:1];71:[1:1];73:[1:5];79:[1:0];83:[1:5];89:[1:2];97:[1:2],1,1
3,4,105,105.4.a.g,1,1,0,0,0,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
5,4,105,105.4.a.g,8,-1,0,0,0,2:[1:3];11:[1:0];13:[1:3];17:[1:1];19:[1:2];23:[1:1];29:[1:3];31:[1:1];37:[1:4];41:[1:1];43:[1:3];47:[1:4];53:[1:0];59:[1:4];61:[1:2],1,1
5,4,105,105.4.a.g,8,-1,9999,9999,2,2:[1:4];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3];29:[1:0];31:[1:3];37:[1:4];41:[1:3];43:[1:3];47:[1:4];53:[1:3];59:[1:0];61:[1:3],1,1
