p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
2,22,10,10.22.a.a,17,1,9999,9999,14,3:[1:0];7:[1:0],1,1
5,22,10,10.22.a.a,21,1,-4,4,8,3:[1:4];7:[1:3],1,1
2,4,10,10.4.a.a,-7,1,9999,9999,2,3:[1:0];7:[1:0],1,1
5,4,10,10.4.a.a,-11,1,0,1,1,3:[1:3];7:[1:4],1,1
2,22,10,10.22.a.d,1,1,-8,-2,6,3:[1:0];7:[1:0],1,1
2,22,10,10.22.a.d,1,1,-1,1,2,3:[1:0];7:[1:0],1,1
5,22,10,10.22.a.d,13,-1,-1,2,3,3:[1:4];7:[1:3],1,1
5,22,10,10.22.a.d,13,-1,-4,2,6,3:[1:4];7:[1:3],1,1
2,22,10,10.22.a.c,13,-1,-2,1,3,3:[1:0];7:[1:0],1,1
2,22,10,10.22.a.c,13,-1,-4,6,10,3:[1:0];7:[1:0],1,1
5,22,10,10.22.a.c,1,1,-7,0,7,3:[1:1];7:[1:2],1,1
5,22,10,10.22.a.c,1,1,-2,1,3,3:[1:1];7:[1:2],1,1
2,6,10,10.6.a.c,1,1,-2,0,2,3:[1:0];7:[1:0],1,1
5,6,10,10.6.a.c,13,-1,0,1,1,3:[1:4];7:[1:3],1,1
2,24,10,10.24.a.c,-39,1,9999,9999,13,3:[1:0];7:[1:0],1,2
5,24,10,10.24.a.c,-3,-1,-5,0,5,3:[1:2];7:[1:1],1,1
5,24,10,10.24.a.c,-3,-1,-8,0,8,3:[1:2];7:[1:1],1,1
2,6,10,10.6.a.b,13,-1,9999,9999,3,3:[1:0];7:[1:0],1,1
5,6,10,10.6.a.b,1,1,-1,1,2,3:[1:1];7:[1:2],1,1
2,6,10,10.6.a.a,21,-1,9999,9999,4,3:[1:0];7:[1:0],1,1
5,6,10,10.6.a.a,17,-1,-1,1,2,3:[1:1];7:[1:2],1,1
2,22,10,10.22.a.b,21,-1,-8,0,8,3:[1:0];7:[1:0],1,1
2,22,10,10.22.a.b,21,-1,-1,3,4,3:[1:0];7:[1:0],1,1
5,22,10,10.22.a.b,17,-1,-7,0,7,3:[1:1];7:[1:2],1,1
5,22,10,10.22.a.b,17,-1,-2,1,3,3:[1:1];7:[1:2],1,1
2,8,10,10.8.a.a,-7,1,9999,9999,3,3:[1:0];7:[1:0],1,1
5,8,10,10.8.a.a,-11,1,0,1,1,3:[1:2];7:[1:1],1,1
2,24,10,10.24.a.a,-3,-1,-6,2,8,3:[1:0];7:[1:0],1,1
2,24,10,10.24.a.a,-3,-1,-7,-1,6,3:[1:0];7:[1:0],1,1
5,24,10,10.24.a.a,-39,1,-6,1,7,3:[1:3];7:[1:4],1,1
5,24,10,10.24.a.a,-39,1,-3,2,5,3:[1:3];7:[1:4],1,1
2,26,10,10.26.a.a,17,1,-6,6,12,3:[1:0];7:[1:0],1,1
5,26,10,10.26.a.a,21,1,-4,3,7,3:[1:1];7:[1:2],1,1
2,24,10,10.24.a.b,-11,-1,-5,4,9,3:[1:0];7:[1:0],1,2
5,24,10,10.24.a.b,-7,-1,-6,1,7,3:[1:3];7:[1:4],1,1
5,24,10,10.24.a.b,-7,-1,-3,2,5,3:[1:3];7:[1:4],1,1
2,10,10,10.10.a.c,1,1,-5,-1,4,3:[1:0];7:[1:0],1,1
5,10,10,10.10.a.c,13,-1,-1,1,2,3:[1:1];7:[1:2],1,1
2,10,10,10.10.a.b,21,-1,-5,1,6,3:[1:0];7:[1:0],1,1
5,10,10,10.10.a.b,17,-1,-2,0,2,3:[1:4];7:[1:3],1,1
2,10,10,10.10.a.a,13,-1,9999,9999,6,3:[1:0];7:[1:0],1,1
5,10,10,10.10.a.a,1,1,-2,0,2,3:[1:4];7:[1:3],1,1
2,24,10,10.24.a.d,-7,1,-6,0,6,3:[1:0];7:[1:0],1,1
2,24,10,10.24.a.d,-7,1,-2,1,3,3:[1:0];7:[1:0],1,1
2,24,10,10.24.a.d,-7,1,-7,-1,6,3:[1:0];7:[1:0],1,1
5,24,10,10.24.a.d,-11,1,-5,0,5,3:[1:2];7:[1:1],1,1
5,24,10,10.24.a.d,-11,1,-1,0,1,3:[1:2];7:[1:1],1,1
