p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
11,11,4,11.4.a.a,0,0,0,-3,-1,2:[1:4];3:[1:3];5:[1:6];7:[1:3],1,1
11,11,4,11.4.a.a,0,1,1,-3,-1,2:[1:5];3:[1:10];5:[1:3];7:[1:10],1,1
11,11,24,11.24.a.a,-7,1,8,-7,1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,24,11.24.a.a,-3,1,4,-7,1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,24,11.24.a.a,-8,2,10,-7,1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,24,11.24.a.a,-2,2,4,-7,1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,24,11.24.a.a,-5,2,7,-7,1,2:[1:6];3:[1:10];5:[1:3];7:[1:1],1,1
11,11,24,11.24.a.a,-5,2,7,-7,1,2:[1:7];3:[1:3];5:[1:6];7:[1:8],1,1
11,11,24,11.24.a.a,-6,2,8,-7,1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,24,11.24.a.a,-4,2,6,-7,1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,6,11.6.a.a,-1,1,2,8,-1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,6,11.6.a.b,-1,1,2,5,1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,6,11.6.a.b,0,0,0,5,1,2:[1:8];3:[1:9];5:[1:8];7:[1:10],1,1
11,11,6,11.6.a.b,0,2,2,5,1,2:[1:10];3:[1:8];5:[1:4];7:[1:4],1,1
11,11,24,11.24.a.b,-7,1,8,-3,-1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,24,11.24.a.b,-3,1,4,-3,-1,2:[1:0];3:[1:3];5:[1:4];7:[1:0],1,1
11,11,24,11.24.a.b,-8,2,10,-3,-1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,24,11.24.a.b,-2,2,4,-3,-1,2:[1:2];3:[1:5];5:[1:6];7:[1:8],1,1
11,11,24,11.24.a.b,-1,-1,0,-3,-1,2:[1:4];3:[1:3];5:[1:6];7:[1:3],1,1
11,11,24,11.24.a.b,-1,1,2,-3,-1,2:[1:5];3:[1:10];5:[1:3];7:[1:10],1,1
11,11,24,11.24.a.b,-5,2,7,-3,-1,2:[1:6];3:[1:10];5:[1:3];7:[1:1],1,1
11,11,24,11.24.a.b,-5,2,7,-3,-1,2:[1:7];3:[1:3];5:[1:6];7:[1:8],1,1
11,11,24,11.24.a.b,-6,2,8,-3,-1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,24,11.24.a.b,-4,2,6,-3,-1,2:[1:9];3:[1:5];5:[1:6];7:[1:3],1,1
11,11,26,11.26.a.a,-7,2,9,8,-1,2:[1:0];3:[1:9];5:[1:9];7:[1:0],1,1
11,11,26,11.26.a.a,-3,2,5,8,-1,2:[1:0];3:[1:9];5:[1:9];7:[1:0],1,1
11,11,26,11.26.a.a,-5,2,7,8,-1,2:[1:1];3:[1:8];5:[1:4];7:[1:7],1,1
11,11,26,11.26.a.a,-5,1,6,8,-1,2:[1:3];3:[1:9];5:[1:8];7:[1:1],1,1
11,11,26,11.26.a.a,-9,0,9,8,-1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,26,11.26.a.a,-2,1,3,8,-1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,26,11.26.a.a,-4,5,9,8,-1,2:[1:7];3:[1:4];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.a,-6,3,9,8,-1,2:[1:7];3:[1:4];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.a,-10,2,12,8,-1,2:[1:8];3:[1:9];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.a,-10,2,12,8,-1,2:[1:10];3:[1:8];5:[1:4];7:[1:4],1,1
11,11,26,11.26.a.b,-7,2,9,5,1,2:[1:0];3:[1:9];5:[1:9];7:[1:0],1,1
11,11,26,11.26.a.b,-3,2,5,5,1,2:[1:0];3:[1:9];5:[1:9];7:[1:0],1,1
11,11,26,11.26.a.b,-5,2,7,5,1,2:[1:1];3:[1:8];5:[1:4];7:[1:7],1,1
11,11,26,11.26.a.b,-5,1,6,5,1,2:[1:3];3:[1:9];5:[1:8];7:[1:1],1,1
11,11,26,11.26.a.b,-9,0,9,5,1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,26,11.26.a.b,-2,1,3,5,1,2:[1:4];3:[1:4];5:[1:8];7:[1:1],1,1
11,11,26,11.26.a.b,-4,1,5,5,1,2:[1:7];3:[1:4];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.b,-6,1,7,5,1,2:[1:7];3:[1:4];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.b,-1,-1,0,5,1,2:[1:8];3:[1:9];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.b,-10,0,10,5,1,2:[1:8];3:[1:9];5:[1:8];7:[1:10],1,1
11,11,26,11.26.a.b,-1,1,2,5,1,2:[1:10];3:[1:8];5:[1:4];7:[1:4],1,1
11,11,26,11.26.a.b,-10,2,12,5,1,2:[1:10];3:[1:8];5:[1:4];7:[1:4],1,1
11,11,8,11.8.a.a,-2,1,3,-7,1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,8,11.8.a.a,-1,1,2,-7,1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,8,11.8.a.b,-2,1,3,-3,-1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,8,11.8.a.b,1,1,0,-3,-1,2:[1:5];3:[1:5];5:[1:7];7:[1:4],1,1
11,11,8,11.8.a.b,-1,1,2,-3,-1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,8,11.8.a.b,1,2,1,-3,-1,2:[1:9];3:[1:2];5:[1:9];7:[1:6],1,1
11,11,10,11.10.a.a,-2,1,3,8,-1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,10,11.10.a.a,-1,1,2,8,-1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,10,11.10.a.a,-3,3,6,8,-1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,10,11.10.a.b,-2,1,3,5,1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,10,11.10.a.b,-1,1,2,5,1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,10,11.10.a.b,-3,1,4,5,1,2:[1:6];3:[1:3];5:[1:2];7:[1:6],1,1
11,11,10,11.10.a.b,0,2,2,5,1,2:[1:7];3:[1:6];5:[1:1];7:[1:9],1,1
11,11,10,11.10.a.b,0,0,0,5,1,2:[1:10];3:[1:4];5:[1:2];7:[1:6],1,1
11,11,28,11.28.a.a,-8,0,8,-7,1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,28,11.28.a.a,-3,1,4,-7,1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,28,11.28.a.a,-5,2,7,-7,1,2:[1:2];3:[1:2];5:[1:9];7:[1:5],1,1
11,11,28,11.28.a.a,-4,2,6,-7,1,2:[1:3];3:[1:1];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.a,-6,2,8,-7,1,2:[1:3];3:[1:1];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.a,-10,2,12,-7,1,2:[1:5];3:[1:5];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.a,-5,2,7,-7,1,2:[1:6];3:[1:5];5:[1:7];7:[1:7],1,1
11,11,28,11.28.a.a,-9,1,10,-7,1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,28,11.28.a.a,-1,1,2,-7,1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,28,11.28.a.a,-10,3,13,-7,1,2:[1:9];3:[1:2];5:[1:9];7:[1:6],1,1
11,11,12,11.12.a.a,-2,1,3,-7,1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
11,11,12,11.12.a.a,-3,1,4,-7,1,2:[1:1];3:[1:9];5:[1:10];7:[1:9],1,1
11,11,12,11.12.a.a,-1,1,2,-7,1,2:[1:10];3:[1:9];5:[1:10];7:[1:2],1,1
11,11,12,11.12.a.b,-2,1,3,-3,-1,2:[1:0];3:[1:1];5:[1:3];7:[1:0],1,1
