p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,33,2,33.2.a.a,100000,100000,1,101,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
11,33,2,33.2.a.a,100000,100000,0,97,1,2:[1:10];5:[1:2];7:[1:7];13:[1:2];17:[1:2];19:[1:0];23:[1:3];29:[1:6];31:[1:8];37:[1:5];41:[1:2];43:[1:0],1,1
3,33,4,33.4.a.b,0,0,0,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
11,33,4,33.4.a.b,0,1,1,-8,1,2:[1:1];5:[1:4];7:[1:4];13:[1:10];17:[1:3];19:[1:5];23:[1:6];29:[1:2];31:[1:8];37:[1:0];41:[1:7];43:[1:10],1,1
3,33,4,33.4.a.a,100000,1,1,-83,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
11,33,4,33.4.a.a,0,1,1,-4,-1,2:[1:5];5:[1:3];7:[1:10];13:[1:5];17:[1:2];19:[1:5];23:[1:9];29:[1:10];31:[1:9];37:[1:2];41:[1:5];43:[1:0],1,1
3,33,4,33.4.a.d,0,0,0,-20,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
11,33,4,33.4.a.d,0,1,1,-7,1,2:[1:5];5:[1:3];7:[1:10];13:[1:5];17:[1:2];19:[1:5];23:[1:9];29:[1:10];31:[1:9];37:[1:2];41:[1:5];43:[1:0],2,1
3,33,4,33.4.a.c,100000,1,1,-127,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,4,33.4.a.c,100000,1,1,-127,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
11,33,4,33.4.a.c,0,1,1,-20,-1,2:[1:1];5:[1:4];7:[1:4];13:[1:10];17:[1:3];19:[1:5];23:[1:6];29:[1:2];31:[1:8];37:[1:0];41:[1:7];43:[1:10],1,1
11,33,4,33.4.a.c,0,0,0,-20,-1,2:[1:9];5:[1:10];7:[1:5];13:[1:4];17:[1:1];19:[1:0];23:[1:3];29:[1:9];31:[1:6];37:[1:9];41:[1:5];43:[1:0],1,1
3,33,6,33.6.a.b,-1,1,2,13,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
11,33,6,33.6.a.b,0,1,1,5,1,2:[1:10];5:[1:4];7:[1:4];13:[1:10];17:[1:1];19:[1:7];23:[1:9];29:[1:4];31:[1:4];37:[1:8];41:[1:7];43:[1:0],1,1
3,33,6,33.6.a.a,0,1,1,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
11,33,6,33.6.a.a,0,1,1,1,1,2:[1:2];5:[1:9];7:[1:6];13:[1:9];17:[1:7];19:[1:7];23:[1:6];29:[1:3];31:[1:6];37:[1:0];41:[1:1];43:[1:1],1,1
3,33,6,33.6.a.d,-1,1,2,8,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
