p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,3,6,3.6.a.a,1,1,0,1,1,2:[1:0],1,1
3,3,26,3.26.a.a,-7,3,10,5,-1,2:[1:0],1,1
3,3,26,3.26.a.a,-5,2,7,5,-1,2:[1:0],1,1
3,3,26,3.26.a.b,-7,-1,6,1,1,2:[1:0],1,1
3,3,26,3.26.a.b,-2,-2,0,1,1,2:[1:0],1,1
3,3,26,3.26.a.b,-5,0,5,1,1,2:[1:0],1,1
3,3,46,3.46.a.b,-7,0,7,1,1,2:[1:0],1,1
3,3,46,3.46.a.b,-11,-2,9,1,1,2:[1:0],1,2
3,3,46,3.46.a.b,-2,0,2,1,1,2:[1:0],1,1
3,3,46,3.46.a.a,-7,2,9,5,-1,2:[1:0],1,1
3,3,46,3.46.a.a,-11,0,11,5,-1,2:[1:0],1,2
3,3,46,3.46.a.a,-2,2,4,5,-1,2:[1:0],1,1
3,3,8,3.8.a.a,-1,2,3,-4,-1,2:[1:0],1,1
3,3,28,3.28.a.a,-6,4,10,-8,1,2:[1:0],1,1
3,3,28,3.28.a.a,-2,4,6,-8,1,2:[1:0],1,1
3,3,28,3.28.a.b,-6,2,8,-4,-1,2:[1:0],1,1
3,3,28,3.28.a.b,-1,3,4,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.a,-11,3,14,-8,1,2:[1:0],1,1
3,3,48,3.48.a.a,-6,5,11,-8,1,2:[1:0],1,1
3,3,48,3.48.a.a,-8,4,12,-8,1,2:[1:0],1,1
3,3,66,3.66.a.a,-8,3,11,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-15,2,17,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-11,3,14,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-6,0,6,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-17,0,17,5,-1,2:[1:0],1,1
3,3,48,3.48.a.b,-11,1,12,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.b,-6,3,9,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.b,0,2,2,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.b,-8,0,8,-4,-1,2:[1:0],1,1
3,3,66,3.66.a.b,-8,-1,7,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-15,-2,13,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-11,1,12,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-6,-2,4,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-17,-2,15,1,1,2:[1:0],1,1
3,3,10,3.10.a.b,-2,0,2,1,1,2:[1:0],1,1
3,3,10,3.10.a.a,-2,2,4,5,-1,2:[1:0],1,1
3,3,30,3.30.a.a,-7,3,10,5,-1,2:[1:0],1,1
3,3,30,3.30.a.a,-5,0,5,5,-1,2:[1:0],1,1
3,3,30,3.30.a.b,-7,-1,6,1,1,2:[1:0],1,1
3,3,30,3.30.a.b,-2,-2,0,1,1,2:[1:0],1,1
3,3,30,3.30.a.b,-5,-2,3,1,1,2:[1:0],1,1
3,3,50,3.50.a.a,-13,2,15,5,-1,2:[1:0],1,1
3,3,50,3.50.a.a,-9,2,11,5,-1,2:[1:0],1,1
3,3,50,3.50.a.a,-11,1,12,5,-1,2:[1:0],1,1
3,3,50,3.50.a.a,-5,2,7,5,-1,2:[1:0],1,1
3,3,50,3.50.a.b,-1,-1,0,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-13,-2,11,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-9,-2,7,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-11,-1,10,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-5,0,5,1,1,2:[1:0],1,1
3,3,12,3.12.a.a,-1,1,2,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.a,-4,4,8,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-18,3,21,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-11,6,17,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-14,5,19,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-9,6,15,-8,1,2:[1:0],1,1
3,3,32,3.32.a.a,-4,4,8,-8,1,2:[1:0],1,1
3,3,32,3.32.a.a,-9,6,15,-8,1,2:[1:0],1,1
3,3,32,3.32.a.b,-4,2,6,-4,-1,2:[1:0],1,1
3,3,32,3.32.a.b,-2,1,3,-4,-1,2:[1:0],1,1
3,3,32,3.32.a.b,-9,2,11,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-4,2,6,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-18,1,19,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-11,4,15,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-14,1,15,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-9,2,11,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-3,0,3,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.b,-7,3,10,-8,1,2:[1:0],1,1
3,3,52,3.52.a.b,-4,4,8,-8,1,2:[1:0],1,1
3,3,52,3.52.a.b,-12,3,15,-8,1,2:[1:0],1,1
3,3,52,3.52.a.b,-10,3,13,-8,1,2:[1:0],1,1
3,3,52,3.52.a.a,-7,1,8,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.a,-4,2,6,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.a,-12,1,13,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.a,-10,1,11,-4,-1,2:[1:0],1,1
3,3,14,3.14.a.a,-4,2,6,5,-1,2:[1:0],1,1
3,3,14,3.14.a.b,0,0,0,1,1,2:[1:0],1,1
3,3,14,3.14.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,34,3.34.a.a,-6,-1,5,1,1,2:[1:0],1,1
3,3,34,3.34.a.a,-10,0,10,1,1,2:[1:0],1,1
3,3,34,3.34.a.a,-3,-1,2,1,1,2:[1:0],1,1
3,3,70,3.70.a.a,-16,0,16,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-7,0,7,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-13,1,14,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-10,2,12,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-3,1,4,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-19,0,19,5,-1,2:[1:0],1,1
3,3,34,3.34.a.b,-6,1,7,5,-1,2:[1:0],1,1
3,3,34,3.34.a.b,-10,2,12,5,-1,2:[1:0],1,1
3,3,34,3.34.a.b,-3,1,4,5,-1,2:[1:0],1,1
3,3,70,3.70.a.b,-16,-2,14,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-7,-2,5,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-13,-1,12,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-10,0,10,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-2,0,2,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-19,-2,17,1,1,2:[1:0],1,1
3,3,54,3.54.a.a,-13,2,15,5,-1,2:[1:0],1,1
3,3,54,3.54.a.a,-9,2,11,5,-1,2:[1:0],1,1
3,3,54,3.54.a.a,-5,0,5,5,-1,2:[1:0],1,1
