p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,51,2,51.2.a.a,100000,100000,2,145,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
17,51,2,51.2.a.a,100000,100000,0,92,-1,2:[1:0];5:[1:14];7:[1:4];11:[1:3];13:[1:1];19:[1:1];23:[1:8];29:[1:11];31:[1:15];37:[1:4];41:[1:3];43:[1:7];47:[1:6];53:[1:6];59:[1:11];61:[1:9];67:[1:4];71:[1:5];73:[1:15];79:[1:10];83:[1:6];89:[1:0];97:[1:16];101:[1:0],1,1
3,51,2,51.2.a.b,100000,100000,0,92,-1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,2,51.2.a.b,100000,50000,0,157,1,2:[1:9];5:[1:7];7:[1:0];11:[1:9];13:[1:6];19:[1:7];23:[1:13];29:[1:0];31:[1:1];37:[1:1];41:[1:10];43:[1:10];47:[1:7];53:[1:13];59:[1:14];61:[1:12];67:[1:13];71:[1:15];73:[1:4];79:[1:14];83:[1:5];89:[1:14];97:[1:7];101:[1:2],2,1
3,51,4,51.4.a.c,100000,1,0,-88,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
17,51,4,51.4.a.c,0,1,1,-8,1,2:[1:16];5:[1:10];7:[1:8];11:[1:5];13:[1:9];19:[1:12];23:[1:1];29:[1:15];31:[1:15];37:[1:11];41:[1:6];43:[1:7];47:[1:16];53:[1:2];59:[1:5];61:[1:7];67:[1:12];71:[1:1];73:[1:13];79:[1:1];83:[1:0];89:[1:11];97:[1:14];101:[1:7],1,1
3,51,4,51.4.a.b,100000,1,3,-104,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
17,51,4,51.4.a.b,0,1,1,-7,-1,2:[1:1];5:[1:3];7:[1:2];11:[1:14];13:[1:14];19:[1:10];23:[1:3];29:[1:2];31:[1:12];37:[1:9];41:[1:12];43:[1:3];47:[1:12];53:[1:13];59:[1:13];61:[1:4];67:[1:14];71:[1:5];73:[1:1];79:[1:9];83:[1:2];89:[1:3];97:[1:4];101:[1:3],1,1
3,51,4,51.4.a.a,100000,1,2,-103,-1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
17,51,4,51.4.a.a,0,0,0,-11,-1,2:[1:1];5:[1:1];7:[1:0];11:[1:14];13:[1:10];19:[1:14];23:[1:10];29:[1:0];31:[1:14];37:[1:3];41:[1:2];43:[1:5];47:[1:6];53:[1:9];59:[1:10];61:[1:1];67:[1:4];71:[1:11];73:[1:3];79:[1:1];83:[1:7];89:[1:5];97:[1:16];101:[1:15],1,1
