p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
5,70,6,70.6.a.f,-1,0,1,13,-1,3:[1:1];11:[1:2];13:[1:2];17:[1:3];19:[1:2];23:[1:0];29:[1:1];31:[1:4];37:[1:3];41:[1:4];43:[1:3];47:[1:4];53:[1:3];59:[1:3];61:[1:0];67:[1:3];71:[1:4];73:[1:0];79:[1:1];83:[1:1],1,1
7,70,6,70.6.a.f,-1,1,2,29,1,3:[1:4];11:[1:1];13:[1:2];17:[1:2];19:[1:4];23:[1:2];29:[1:6];31:[1:1];37:[1:5];41:[1:4];43:[1:3];47:[1:2];53:[1:1];59:[1:0];61:[1:2];67:[1:1];71:[1:2];73:[1:1];79:[1:5];83:[1:5],1,1
5,70,6,70.6.a.e,-2,1,3,29,1,3:[1:2];11:[1:0];13:[1:4];17:[1:4];19:[1:3];23:[1:0];29:[1:1];31:[1:4];37:[1:3];41:[1:4];43:[1:2];47:[1:2];53:[1:4];59:[1:1];61:[1:2];67:[1:4];71:[1:0];73:[1:3];79:[1:2];83:[1:1],1,1
7,70,6,70.6.a.e,-1,0,1,13,-1,3:[1:3];11:[1:1];13:[1:5];17:[1:5];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:5];41:[1:3];43:[1:3];47:[1:5];53:[1:1];59:[1:0];61:[1:5];67:[1:1];71:[1:2];73:[1:6];79:[1:5];83:[1:2],1,1
5,70,6,70.6.a.c,0,1,1,17,-1,3:[1:3];11:[1:0];13:[1:1];17:[1:1];19:[1:3];23:[1:0];29:[1:1];31:[1:4];37:[1:2];41:[1:4];43:[1:3];47:[1:3];53:[1:1];59:[1:1];61:[1:2];67:[1:1];71:[1:0];73:[1:2];79:[1:2];83:[1:4],1,1
7,70,6,70.6.a.c,0,1,1,1,1,3:[1:3];11:[1:1];13:[1:6];17:[1:2];19:[1:3];23:[1:6];29:[1:1];31:[1:2];37:[1:0];41:[1:3];43:[1:5];47:[1:1];53:[1:3];59:[1:0];61:[1:4];67:[1:5];71:[1:0];73:[1:6];79:[1:5];83:[1:0],1,1
5,70,6,70.6.a.b,0,1,1,1,1,3:[1:4];11:[1:2];13:[1:3];17:[1:2];19:[1:2];23:[1:0];29:[1:1];31:[1:4];37:[1:2];41:[1:4];43:[1:2];47:[1:1];53:[1:2];59:[1:3];61:[1:0];67:[1:2];71:[1:4];73:[1:0];79:[1:1];83:[1:4],1,1
7,70,6,70.6.a.b,0,1,1,17,-1,3:[1:2];11:[1:5];13:[1:3];17:[1:0];19:[1:1];23:[1:5];29:[1:3];31:[1:2];37:[1:2];41:[1:2];43:[1:0];47:[1:0];53:[1:5];59:[1:2];61:[1:6];67:[1:4];71:[1:6];73:[1:3];79:[1:6];83:[1:3],1,1
5,70,6,70.6.a.d,100000,2,1,113,-1,3:[1:4];11:[1:2];13:[1:3];17:[1:2];19:[1:2];23:[1:0];29:[1:1];31:[1:4];37:[1:2];41:[1:4];43:[1:2];47:[1:1];53:[1:2];59:[1:3];61:[1:0];67:[1:2];71:[1:4];73:[1:0];79:[1:1];83:[1:4],1,1
7,70,6,70.6.a.d,0,2,2,13,-1,3:[1:3];11:[1:1];13:[1:6];17:[1:2];19:[1:3];23:[1:6];29:[1:1];31:[1:2];37:[1:0];41:[1:3];43:[1:5];47:[1:1];53:[1:3];59:[1:0];61:[1:4];67:[1:5];71:[1:0];73:[1:6];79:[1:5];83:[1:0],1,1
5,70,6,70.6.a.a,0,1,1,29,1,3:[1:3];11:[1:0];13:[1:1];17:[1:1];19:[1:3];23:[1:0];29:[1:1];31:[1:4];37:[1:2];41:[1:4];43:[1:3];47:[1:3];53:[1:1];59:[1:1];61:[1:2];67:[1:1];71:[1:0];73:[1:2];79:[1:2];83:[1:4],1,1
7,70,6,70.6.a.a,0,1,1,29,1,3:[1:2];11:[1:5];13:[1:3];17:[1:0];19:[1:1];23:[1:5];29:[1:3];31:[1:2];37:[1:2];41:[1:2];43:[1:0];47:[1:0];53:[1:5];59:[1:2];61:[1:6];67:[1:4];71:[1:6];73:[1:3];79:[1:6];83:[1:3],1,1
5,70,6,70.6.a.g,0,0,0,17,-1,3:[1:0];11:[1:1];13:[1:4];17:[1:2];19:[1:0];23:[1:0];29:[1:4];31:[1:2];37:[1:0];41:[1:3];43:[1:4];47:[1:3];53:[1:3];59:[1:3];61:[1:4];67:[1:3];71:[1:1];73:[1:2];79:[1:3];83:[1:3],1,1
5,70,6,70.6.a.g,-2,1,3,17,-1,3:[1:2];11:[1:0];13:[1:4];17:[1:4];19:[1:3];23:[1:0];29:[1:1];31:[1:4];37:[1:3];41:[1:4];43:[1:2];47:[1:2];53:[1:4];59:[1:1];61:[1:2];67:[1:4];71:[1:0];73:[1:3];79:[1:2];83:[1:1],1,1
7,70,6,70.6.a.g,0,0,0,17,-1,3:[1:0];11:[1:6];13:[1:6];17:[1:3];19:[1:0];23:[1:0];29:[1:1];31:[1:5];37:[1:5];41:[1:5];43:[1:3];47:[1:3];53:[1:4];59:[1:2];61:[1:0];67:[1:3];71:[1:2];73:[1:3];79:[1:4];83:[1:6],1,1
7,70,6,70.6.a.g,-1,1,2,17,-1,3:[1:4];11:[1:1];13:[1:2];17:[1:2];19:[1:4];23:[1:2];29:[1:6];31:[1:1];37:[1:5];41:[1:4];43:[1:3];47:[1:2];53:[1:1];59:[1:0];61:[1:2];67:[1:1];71:[1:2];73:[1:1];79:[1:5];83:[1:5],1,1
5,70,6,70.6.a.h,-1,0,1,101,1,3:[1:1];11:[1:2];13:[1:2];17:[1:3];19:[1:2];23:[1:0];29:[1:1];31:[1:4];37:[1:3];41:[1:4];43:[1:3];47:[1:4];53:[1:3];59:[1:3];61:[1:0];67:[1:3];71:[1:4];73:[1:0];79:[1:1];83:[1:1],1,1
5,70,6,70.6.a.h,0,1,1,101,1,3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3];67:[1:3];71:[1:3];73:[1:4];79:[1:0];83:[1:4],1,1
7,70,6,70.6.a.h,-1,0,1,1,1,3:[1:3];11:[1:1];13:[1:5];17:[1:5];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:5];41:[1:3];43:[1:3];47:[1:5];53:[1:1];59:[1:0];61:[1:5];67:[1:1];71:[1:2];73:[1:6];79:[1:5];83:[1:2],1,1
7,70,6,70.6.a.h,0,1,1,1,1,3:[1:6];11:[1:4];13:[1:0];17:[1:6];19:[1:4];23:[1:2];29:[1:5];31:[1:6];37:[1:2];41:[1:0];43:[1:5];47:[1:4];53:[1:4];59:[1:6];61:[1:4];67:[1:4];71:[1:5];73:[1:6];79:[1:2];83:[1:0],1,1
5,70,8,70.8.a.b,-3,0,3,-3,-1,3:[1:1];11:[1:0];13:[1:2];17:[1:3];19:[1:2];23:[1:0];29:[1:4];31:[1:4];37:[1:1];41:[1:4];43:[1:1];47:[1:4];53:[1:2];59:[1:4];61:[1:2];67:[1:3];71:[1:0];73:[1:4];79:[1:3];83:[1:3],1,1
7,70,8,70.8.a.b,-1,1,2,-11,-1,3:[1:5];11:[1:4];13:[1:5];17:[1:6];19:[1:6];23:[1:4];29:[1:6];31:[1:3];37:[1:3];41:[1:3];43:[1:3];47:[1:3];53:[1:4];59:[1:0];61:[1:3];67:[1:4];71:[1:2];73:[1:3];79:[1:3];83:[1:2],1,1
