p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
7,7,4,7.4.a.a,0,1,1,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,24,7.24.a.a,-6,3,9,-3,1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,24,7.24.a.a,-3,1,4,-3,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,24,7.24.a.a,-5,1,6,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,24,7.24.a.a,-8,1,9,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,24,7.24.a.a,-1,1,2,-3,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,24,7.24.a.b,-1,0,1,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,24,7.24.a.b,-6,1,7,-4,-1,2:[1:2];3:[1:1];5:[1:3],1,1
7,7,24,7.24.a.b,-3,1,4,-4,-1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,24,7.24.a.b,-5,1,6,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,24,7.24.a.b,-8,1,9,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,24,7.24.a.b,0,2,2,-4,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.a,-13,3,16,-3,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,44,7.44.a.a,-9,2,11,-3,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,44,7.44.a.a,-7,3,10,-3,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,44,7.44.a.a,-15,2,17,-3,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,44,7.44.a.a,-3,2,5,-3,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,44,7.44.a.a,-11,2,13,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.a,-2,2,4,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.a,-4,2,6,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.a,-8,2,10,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.a,-14,1,15,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,6,7.6.a.a,-1,1,2,5,-1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,6,7.6.a.b,0,2,2,8,1,2:[1:2];3:[1:6];5:[1:4],1,1
7,7,6,7.6.a.b,-1,1,2,8,1,2:[1:3];3:[1:0];5:[1:0],1,1
7,7,26,7.26.a.a,-9,1,10,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,26,7.26.a.a,-6,2,8,5,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,26,7.26.a.a,-3,1,4,5,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,26,7.26.a.a,-2,0,2,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,26,7.26.a.a,-5,0,5,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,26,7.26.a.a,-8,1,9,5,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,26,7.26.a.b,-1,1,2,8,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,26,7.26.a.b,-9,1,10,8,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,26,7.26.a.b,-6,2,8,8,1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,26,7.26.a.b,-3,1,4,8,1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,26,7.26.a.b,-2,0,2,8,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,26,7.26.a.b,-5,0,5,8,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,26,7.26.a.b,-8,1,9,8,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.b,-1,1,2,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,44,7.44.a.b,-13,1,14,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,44,7.44.a.b,-9,2,11,-4,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,44,7.44.a.b,-7,1,8,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,44,7.44.a.b,-15,2,17,-4,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,44,7.44.a.b,-3,2,5,-4,-1,2:[1:4];3:[1:3];5:[1:1],1,1
7,7,44,7.44.a.b,-11,2,13,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.b,-2,2,4,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.b,-4,2,6,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.b,-8,2,10,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,44,7.44.a.b,-14,1,15,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,8,7.8.a.a,-1,1,2,-3,1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,8,7.8.a.b,0,1,1,-4,-1,2:[1:4];3:[1:4];5:[1:6],1,1
7,7,8,7.8.a.b,-1,1,2,-4,-1,2:[1:6];3:[1:0];5:[1:0],1,1
7,7,28,7.28.a.a,-7,3,10,-3,1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,28,7.28.a.a,-3,1,4,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,28,7.28.a.a,-9,1,10,-3,1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,28,7.28.a.a,-8,1,9,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,28,7.28.a.a,-2,1,3,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,28,7.28.a.a,-4,1,5,-3,1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,28,7.28.a.b,-7,1,8,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,28,7.28.a.b,-1,0,1,-4,-1,2:[1:1];3:[1:2];5:[1:5],1,1
7,7,28,7.28.a.b,-3,1,4,-4,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,28,7.28.a.b,-9,1,10,-4,-1,2:[1:1];3:[1:5];5:[1:2],1,1
7,7,28,7.28.a.b,-8,1,9,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
7,7,28,7.28.a.b,-2,1,3,-4,-1,2:[1:5];3:[1:0];5:[1:0],1,1
